1;Bayern
2;Baden-Württemberg
3;Berlin
4;Brandenburg
5;Bremen
6;Hamburg
7;Hessen
8;Mecklenburg-Vorpommern
9;Niedersachsen
10;Nordrhein-Westfalen
11;Rheinland-Pfalz
12;Sachsen
13;Sachsen-Anhalt
14;Saarland
15;Schleswig-Holstein
16;Thüringen
20;Sonderkennzeichen
